"id","crime_type_id","latitude","longitude","city","address","link","occurred_at"
9580910,5,39.2957589,-76.661596,"BALTIMORE","2700 HARLEM","http://spotcrime.com/crimealert/9580910-55bfe58d279f9d9e754d0c25c5563ffe","Thu Apr 01 15:30:00 UTC 2010"
9580911,5,39.278808,-76.615904,"BALTIMORE","900 S HANOVER ST","http://spotcrime.com/crimealert/9580911-75c086f91d13b0c2d434dc8b9c286067","Thu Apr 01 22:00:00 UTC 2010"
9584362,8,39.3732667,-76.4733932,"White Marsh","8200 Perry Hall Blvd","http://spotcrime.com/crimealert/9584362-059c226400fee22f0651716cd2ae489e","Thu Apr 01 21:51:00 UTC 2010"
9592583,9,39.219387,-76.6366116,"Anne Arundel County","BELLE GROVE RD/BERLIN AVE","http://spotcrime.com/crimealert/9592583-b2b97e5864e6285a70e9410b8b1259f7","Thu Apr 01 00:03:00 UTC 2010"
9592585,9,39.1367296,-76.6857352,"SEVERN","800 REECE RD","http://spotcrime.com/crimealert/9592585-6bf44af349841adcd4ae7ad01ad7c5e3","Thu Apr 01 00:01:00 UTC 2010"
9592586,9,39.1155281,-76.7057141,"Anne Arundel County","RICHFIELD DR/PIONEER DR","http://spotcrime.com/crimealert/9592586-ce73bf3c97bbf261dcd8a0c4e6925ba6","Thu Apr 01 00:02:00 UTC 2010"
9592588,9,39.2219547,-76.6085571,"BROOKLYN PARK","5300 BROOKWOOD RD","http://spotcrime.com/crimealert/9592588-863072a46e9dc032519d0dc8227c9424","Thu Apr 01 00:13:00 UTC 2010"
9592589,9,39.1152064,-76.7088997,"Anne Arundel County","8200 COATSBRIDGE CT","http://spotcrime.com/crimealert/9592589-8e3c288c7dc9d3b7fe16a65db2fda52a","Thu Apr 01 00:16:00 UTC 2010"
9592591,9,39.2219547,-76.6085571,"BROOKLYN PARK","5300 BROOKWOOD RD","http://spotcrime.com/crimealert/9592591-654dee9250a22c2ba258144a7ceb6d89","Thu Apr 01 00:23:00 UTC 2010"
9592593,9,39.1425491,-76.6011797,"GLEN BURNIE","2700 ROBIN RD","http://spotcrime.com/crimealert/9592593-626bf5ee3602bbf3981cdeec7adb27b1","Thu Apr 01 01:45:00 UTC 2010"
